playerid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namegiven,weight,height,bats,throws,debut,finalgame,retroid,bbrefid,schoolid,yearid
abbotky01,1968,2.0,18.0,USA,MA,Newburyport,,,,,,,Kyle,Abbott,Lawrence Kyle,200.0,76.0,L,L,1991-09-10,1996-08-24,abbok001,abbotky01,ucsd,1988
abercre01,1980,7.0,15.0,USA,GA,Columbus,,,,,,,Reggie,Abercrombie,Reginald Damascus,215.0,75.0,R,R,2006-04-04,2008-09-28,aberr001,abercre01,flgateway,2000
abernte01,1921,10.0,30.0,USA,NC,Bynum,2001.0,11.0,16.0,USA,NC,Charlotte,Ted,Abernathy,Talmadge Lafayette,210.0,74.0,R,L,1942-09-19,1944-04-29,abert102,abernte01,elon,1939
abernte01,1921,10.0,30.0,USA,NC,Bynum,2001.0,11.0,16.0,USA,NC,Charlotte,Ted,Abernathy,Talmadge Lafayette,210.0,74.0,R,L,1942-09-19,1944-04-29,abert102,abernte01,elon,1940
abernte01,1921,10.0,30.0,USA,NC,Bynum,2001.0,11.0,16.0,USA,NC,Charlotte,Ted,Abernathy,Talmadge Lafayette,210.0,74.0,R,L,1942-09-19,1944-04-29,abert102,abernte01,elon,1941
ablesha01,1883,10.0,4.0,USA,TX,Terrell,1951.0,2.0,8.0,USA,TX,San Antonio,Harry,Ables,Harry Terrell,200.0,74.0,R,L,1905-09-04,1911-05-05,ableh101,ablesha01,swesterntx,1903
ablesha01,1883,10.0,4.0,USA,TX,Terrell,1951.0,2.0,8.0,USA,TX,San Antonio,Harry,Ables,Harry Terrell,200.0,74.0,R,L,1905-09-04,1911-05-05,ableh101,ablesha01,swesterntx,1904
accarje01,1981,12.0,18.0,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195.0,72.0,R,R,2005-05-04,2012-09-27,accaj001,accarje01,illinoisst,2001
accarje01,1981,12.0,18.0,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195.0,72.0,R,R,2005-05-04,2012-09-27,accaj001,accarje01,illinoisst,2002
accarje01,1981,12.0,18.0,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195.0,72.0,R,R,2005-05-04,2012-09-27,accaj001,accarje01,illinoisst,2003
aceveju01,1970,5.0,5.0,Mexico,Chihuahua,Ciudad Juarez,,,,,,,Juan,Acevedo,Juan Carlos,245.0,74.0,R,R,1995-04-30,2003-08-05,acevj001,aceveju01,ilparkl,1992
ackerji01,1958,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210.0,74.0,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,texas,1978
ackerji01,1958,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210.0,74.0,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,texas,1979
ackerji01,1958,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210.0,74.0,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,texas,1980
ackledu01,1988,2.0,26.0,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205.0,73.0,L,R,2011-06-17,2016-05-29,ackld001,ackledu01,unc,2007
ackledu01,1988,2.0,26.0,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205.0,73.0,L,R,2011-06-17,2016-05-29,ackld001,ackledu01,unc,2008
ackledu01,1988,2.0,26.0,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205.0,73.0,L,R,2011-06-17,2016-05-29,ackld001,ackledu01,unc,2009
acrema01,1968,9.0,16.0,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235.0,80.0,R,R,1994-05-13,1997-05-10,acrem001,acrema01,nmstate,1989
acrema01,1968,9.0,16.0,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235.0,80.0,R,R,1994-05-13,1997-05-10,acrem001,acrema01,nmstate,1990
acrema01,1968,9.0,16.0,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235.0,80.0,R,R,1994-05-13,1997-05-10,acrem001,acrema01,nmstate,1991
adairje01,1936,12.0,17.0,USA,OK,Sand Springs,1987.0,5.0,31.0,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175.0,72.0,R,R,1958-09-02,1970-05-03,adaij101,adairje01,okstate,1957
adairje01,1936,12.0,17.0,USA,OK,Sand Springs,1987.0,5.0,31.0,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175.0,72.0,R,R,1958-09-02,1970-05-03,adaij101,adairje01,okstate,1958
adamsbo01,1901,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1922
adamsbo01,1901,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1923
adamsbo01,1901,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1924
adamsbo01,1901,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1925
adamsbo04,1952,1.0,6.0,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200.0,74.0,R,R,1977-07-10,1977-09-29,adamb105,adamsbo04,ucla,1971
adamsbo04,1952,1.0,6.0,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200.0,74.0,R,R,1977-07-10,1977-09-29,adamb105,adamsbo04,ucla,1972
adamsbo04,1952,1.0,6.0,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200.0,74.0,R,R,1977-07-10,1977-09-29,adamb105,adamsbo04,ucla,1973
adamsda02,1987,5.0,15.0,USA,FL,Margate,,,,,,,David,Adams,David Lee,205.0,74.0,R,R,2013-05-15,2013-09-29,adamd001,adamsda02,virginia,2006
adamsda02,1987,5.0,15.0,USA,FL,Margate,,,,,,,David,Adams,David Lee,205.0,74.0,R,R,2013-05-15,2013-09-29,adamd001,adamsda02,virginia,2007
adamsda02,1987,5.0,15.0,USA,FL,Margate,,,,,,,David,Adams,David Lee,205.0,74.0,R,R,2013-05-15,2013-09-29,adamd001,adamsda02,virginia,2008
adamsgl01,1947,10.0,4.0,USA,MA,Northbridge,,,,,,,Glenn,Adams,Glenn Charles,180.0,73.0,L,R,1975-05-04,1982-10-03,adamg101,adamsgl01,sprngfldma,1967
adamsjo02,1971,7.0,2.0,USA,CA,Lakewood,,,,,,,Joel,Adamson,Joel Lee,185.0,76.0,L,L,1996-04-10,1998-04-26,adamj001,adamsjo02,cacerri,1990
adamsma01,1988,8.0,31.0,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,260.0,75.0,L,R,2012-05-20,2017-09-30,adamm002,adamsma01,sliprock,2007
adamsma01,1988,8.0,31.0,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,260.0,75.0,L,R,2012-05-20,2017-09-30,adamm002,adamsma01,sliprock,2008
adamsma01,1988,8.0,31.0,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,260.0,75.0,L,R,2012-05-20,2017-09-30,adamm002,adamsma01,sliprock,2009
adamsmi01,1947,9.0,13.0,USA,CA,San Diego,,,,,,,Mike,Adamson,John Michael,185.0,74.0,R,R,1967-07-01,1969-05-07,adamm101,adamsmi01,usc,1967
adamsmi03,1978,7.0,29.0,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,tamukvill,1999
adamsmi03,1978,7.0,29.0,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,tamukvill,2000
adamsmi03,1978,7.0,29.0,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,tamukvill,2001
adamsru01,1980,8.0,30.0,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205.0,72.0,L,R,2004-09-03,2009-06-30,adamr002,adamsru01,unc,2000
adamsru01,1980,8.0,30.0,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205.0,72.0,L,R,2004-09-03,2009-06-30,adamr002,adamsru01,unc,2001
adamsru01,1980,8.0,30.0,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205.0,72.0,L,R,2004-09-03,2009-06-30,adamr002,adamsru01,unc,2002
adamssp02,1898,6.0,21.0,USA,UT,Layton,1970.0,11.0,24.0,USA,UT,Salt Lake City,Spencer,Adams,Spencer Dewey,158.0,69.0,L,R,1923-04-22,1927-10-02,adams102,adamssp02,utah,1920
adamswi02,1972,10.0,8.0,USA,NM,Gallup,,,,,,,Willie,Adams,William Edward,215.0,79.0,R,R,1996-06-11,1997-08-14,adamw001,adamswi02,stanford,1991
adamswi02,1972,10.0,8.0,USA,NM,Gallup,,,,,,,Willie,Adams,William Edward,215.0,79.0,R,R,1996-06-11,1997-08-14,adamw001,adamswi02,stanford,1992
adamswi02,1972,10.0,8.0,USA,NM,Gallup,,,,,,,Willie,Adams,William Edward,215.0,79.0,R,R,1996-06-11,1997-08-14,adamw001,adamswi02,stanford,1993
adcocjo01,1927,10.0,30.0,USA,LA,Coushatta,1999.0,5.0,3.0,USA,LA,Coushatta,Joe,Adcock,Joseph Wilbur,210.0,76.0,R,R,1950-04-23,1966-10-01,adcoj101,adcocjo01,lsu,1947
adducji01,1959,8.0,9.0,USA,IL,Chicago,,,,,,,Jim,Adduci,James David,200.0,77.0,L,L,1983-09-12,1989-07-26,adduj001,adducji01,sillinois,1978
adducji01,1959,8.0,9.0,USA,IL,Chicago,,,,,,,Jim,Adduci,James David,200.0,77.0,L,L,1983-09-12,1989-07-26,adduj001,adducji01,sillinois,1979
adducji01,1959,8.0,9.0,USA,IL,Chicago,,,,,,,Jim,Adduci,James David,200.0,77.0,L,L,1983-09-12,1989-07-26,adduj001,adducji01,sillinois,1980
aderhmo01,1915,9.0,13.0,USA,NC,Mount Olive,1955.0,3.0,18.0,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188.0,73.0,L,R,1939-09-13,1945-09-30,aderm101,aderhmo01,wake,1935
aderhmo01,1915,9.0,13.0,USA,NC,Mount Olive,1955.0,3.0,18.0,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188.0,73.0,L,R,1939-09-13,1945-09-30,aderm101,aderhmo01,wake,1936
aderhmo01,1915,9.0,13.0,USA,NC,Mount Olive,1955.0,3.0,18.0,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188.0,73.0,L,R,1939-09-13,1945-09-30,aderm101,aderhmo01,wake,1937
aderhmo01,1915,9.0,13.0,USA,NC,Mount Olive,1955.0,3.0,18.0,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188.0,73.0,L,R,1939-09-13,1945-09-30,aderm101,aderhmo01,wake,1938
adkindo01,1872,8.0,5.0,USA,WI,Troy,1934.0,2.0,21.0,USA,NC,Durham,Doc,Adkins,Merle Theron,220.0,70.0,R,R,1902-06-24,1903-09-29,adkid102,adkindo01,beloitwi,1898
adkindo01,1872,8.0,5.0,USA,WI,Troy,1934.0,2.0,21.0,USA,NC,Durham,Doc,Adkins,Merle Theron,220.0,70.0,R,R,1902-06-24,1903-09-29,adkid102,adkindo01,beloitwi,1899
adkindo01,1872,8.0,5.0,USA,WI,Troy,1934.0,2.0,21.0,USA,NC,Durham,Doc,Adkins,Merle Theron,220.0,70.0,R,R,1902-06-24,1903-09-29,adkid102,adkindo01,beloitwi,1900
adkindo01,1872,8.0,5.0,USA,WI,Troy,1934.0,2.0,21.0,USA,NC,Durham,Doc,Adkins,Merle Theron,220.0,70.0,R,R,1902-06-24,1903-09-29,adkid102,adkindo01,beloitwi,1901
adkinhe01,1874,1.0,19.0,USA,MO,Fulton,1953.0,1.0,2.0,USA,MO,Mexico,Harry,Atkinson,John Harry,,,,,1895-09-25,1895-09-25,adkih101,adkinhe01,chicago,1893
adkinhe01,1874,1.0,19.0,USA,MO,Fulton,1953.0,1.0,2.0,USA,MO,Mexico,Harry,Atkinson,John Harry,,,,,1895-09-25,1895-09-25,adkih101,adkinhe01,chicago,1894
adkinhe01,1874,1.0,19.0,USA,MO,Fulton,1953.0,1.0,2.0,USA,MO,Mexico,Harry,Atkinson,John Harry,,,,,1895-09-25,1895-09-25,adkih101,adkinhe01,chicago,1895
adkinhe01,1874,1.0,19.0,USA,MO,Fulton,1953.0,1.0,2.0,USA,MO,Mexico,Harry,Atkinson,John Harry,,,,,1895-09-25,1895-09-25,adkih101,adkinhe01,chicago,1896
adkinjo01,1977,8.0,30.0,USA,WV,Huntington,,,,,,,Jon,Adkins,Jonathan Scott,200.0,72.0,L,R,2003-08-14,2008-09-27,adkij001,adkinjo01,okstate,1996
adkinjo01,1977,8.0,30.0,USA,WV,Huntington,,,,,,,Jon,Adkins,Jonathan Scott,200.0,72.0,L,R,2003-08-14,2008-09-27,adkij001,adkinjo01,okstate,1997
adkinjo01,1977,8.0,30.0,USA,WV,Huntington,,,,,,,Jon,Adkins,Jonathan Scott,200.0,72.0,L,R,2003-08-14,2008-09-27,adkij001,adkinjo01,okstate,1998
adkinst01,1964,10.0,26.0,USA,IL,Chicago,,,,,,,Steve,Adkins,Steven Thomas,210.0,78.0,R,L,1990-09-12,1990-10-03,adkis001,adkinst01,upenn,1983
adkinst01,1964,10.0,26.0,USA,IL,Chicago,,,,,,,Steve,Adkins,Steven Thomas,210.0,78.0,R,L,1990-09-12,1990-10-03,adkis001,adkinst01,upenn,1984
adkinst01,1964,10.0,26.0,USA,IL,Chicago,,,,,,,Steve,Adkins,Steven Thomas,210.0,78.0,R,L,1990-09-12,1990-10-03,adkis001,adkinst01,upenn,1985
adkinst01,1964,10.0,26.0,USA,IL,Chicago,,,,,,,Steve,Adkins,Steven Thomas,210.0,78.0,R,L,1990-09-12,1990-10-03,adkis001,adkinst01,upenn,1986
afenitr01,1963,9.0,21.0,USA,CA,Escondido,,,,,,,Troy,Afenir,Michael Troy,185.0,76.0,R,R,1987-09-14,1992-07-10,afent001,afenitr01,capalom,1982
afenitr01,1963,9.0,21.0,USA,CA,Escondido,,,,,,,Troy,Afenir,Michael Troy,185.0,76.0,R,R,1987-09-14,1992-07-10,afent001,afenitr01,capalom,1983
agbaybe01,1971,12.0,28.0,USA,HI,Honolulu,,,,,,,Benny,Agbayani,Benny Peter,225.0,72.0,R,R,1998-06-17,2002-09-29,agbab001,agbaybe01,hawaiipac,1991
agbaybe01,1971,12.0,28.0,USA,HI,Honolulu,,,,,,,Benny,Agbayani,Benny Peter,225.0,72.0,R,R,1998-06-17,2002-09-29,agbab001,agbaybe01,hawaiipac,1992
agbaybe01,1971,12.0,28.0,USA,HI,Honolulu,,,,,,,Benny,Agbayani,Benny Peter,225.0,72.0,R,R,1998-06-17,2002-09-29,agbab001,agbaybe01,hawaiipac,1993
ageeto01,1942,8.0,9.0,USA,AL,Magnolia,2001.0,1.0,22.0,USA,NY,New York,Tommie,Agee,Tommie Lee,195.0,71.0,R,R,1962-09-14,1973-09-30,ageet101,ageeto01,grambling,1961
agganha01,1929,4.0,20.0,USA,MA,Lynn,1955.0,6.0,27.0,USA,MA,Cambridge,Harry,Agganis,Harry,200.0,74.0,L,L,1954-04-13,1955-06-02,aggah101,agganha01,bostonuniv,1950
agganha01,1929,4.0,20.0,USA,MA,Lynn,1955.0,6.0,27.0,USA,MA,Cambridge,Harry,Agganis,Harry,200.0,74.0,L,L,1954-04-13,1955-06-02,aggah101,agganha01,bostonuniv,1952
aguilri01,1961,12.0,31.0,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,Richard Warren,195.0,76.0,R,R,1985-06-12,2000-09-06,aguir001,aguilri01,byu,1981
aguilri01,1961,12.0,31.0,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,Richard Warren,195.0,76.0,R,R,1985-06-12,2000-09-06,aguir001,aguilri01,byu,1982
aguilri01,1961,12.0,31.0,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,Richard Warren,195.0,76.0,R,R,1985-06-12,2000-09-06,aguir001,aguilri01,byu,1983
ahearpa01,1969,12.0,10.0,USA,CA,San Francisco,,,,,,,Pat,Ahearne,Patrick Howard,195.0,75.0,R,R,1995-06-14,1995-06-30,aheap001,ahearpa01,pepperdine,1991
ahearpa01,1969,12.0,10.0,USA,CA,San Francisco,,,,,,,Pat,Ahearne,Patrick Howard,195.0,75.0,R,R,1995-06-14,1995-06-30,aheap001,ahearpa01,pepperdine,1992
aikenwi01,1954,10.0,14.0,USA,SC,Seneca,,,,,,,Willie,Aikens,Willie Mays,220.0,75.0,L,R,1977-05-17,1985-04-27,aikew001,aikenwi01,scstate,1974
ainswku01,1978,9.0,9.0,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,Kurt Harold,192.0,75.0,R,R,2001-09-05,2004-05-14,ainsk001,ainswku01,lsu,1998
ainswku01,1978,9.0,9.0,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,Kurt Harold,192.0,75.0,R,R,2001-09-05,2004-05-14,ainsk001,ainswku01,lsu,1999
akerfda01,1962,6.0,12.0,USA,CO,Denver,2012.0,6.0,24.0,USA,AZ,Phoenix,Darrel,Akerfelds,Darrel Wayne,210.0,74.0,R,R,1986-08-01,1991-07-02,akerd001,akerfda01,arkansas,1981
akerfda01,1962,6.0,12.0,USA,CO,Denver,2012.0,6.0,24.0,USA,AZ,Phoenix,Darrel,Akerfelds,Darrel Wayne,210.0,74.0,R,R,1986-08-01,1991-07-02,akerd001,akerfda01,arkansas,1982
akerfda01,1962,6.0,12.0,USA,CO,Denver,2012.0,6.0,24.0,USA,AZ,Phoenix,Darrel,Akerfelds,Darrel Wayne,210.0,74.0,R,R,1986-08-01,1991-07-02,akerd001,akerfda01,mesast,1983
akerja01,1940,7.0,13.0,USA,CA,Tulare,,,,,,,Jack,Aker,Jackie Delane,190.0,74.0,R,R,1964-05-03,1974-09-27,akerj102,akerja01,casequo,1959
albaljo01,1982,10.0,30.0,P.R.,,San Juan,,,,,,,Jonathan,Albaladejo,Jonathan,270.0,77.0,R,R,2007-09-05,2012-07-20,albaj001,albaljo01,miamidade,2001
alberan01,1985,10.0,6.0,CAN,SK,North Battleford,,,,,,,Andrew,Albers,Andrew William,200.0,73.0,R,L,2013-08-06,2017-09-30,albea001,alberan01,kentucky,2005
alberan01,1985,10.0,6.0,CAN,SK,North Battleford,,,,,,,Andrew,Albers,Andrew William,200.0,73.0,R,L,2013-08-06,2017-09-30,albea001,alberan01,kentucky,2006
alberan01,1985,10.0,6.0,CAN,SK,North Battleford,,,,,,,Andrew,Albers,Andrew William,200.0,73.0,R,L,2013-08-06,2017-09-30,albea001,alberan01,kentucky,2007
alberan01,1985,10.0,6.0,CAN,SK,North Battleford,,,,,,,Andrew,Albers,Andrew William,200.0,73.0,R,L,2013-08-06,2017-09-30,albea001,alberan01,kentucky,2008
alberbu01,1950,5.0,4.0,USA,PA,Williamsport,,,,,,,Butch,Alberts,Francis Burt,205.0,74.0,R,R,1978-09-07,1978-09-28,albeb101,alberbu01,cincy,1971
alberbu01,1950,5.0,4.0,USA,PA,Williamsport,,,,,,,Butch,Alberts,Francis Burt,205.0,74.0,R,R,1978-09-07,1978-09-28,albeb101,alberbu01,cincy,1972
alberma01,1983,1.0,20.0,USA,TX,Houston,,,,,,,Matt,Albers,Matthew James,225.0,73.0,L,R,2006-07-25,2017-10-01,albem001,alberma01,txsjjcn,2002
albrija01,1921,6.0,30.0,USA,FL,St. Petersburg,1991.0,7.0,22.0,USA,CA,San Diego,Jack,Albright,Harold John,175.0,69.0,R,R,1947-05-19,1947-07-27,albrj101,albrija01,california,1941
albrija01,1921,6.0,30.0,USA,FL,St. Petersburg,1991.0,7.0,22.0,USA,CA,San Diego,Jack,Albright,Harold John,175.0,69.0,R,R,1947-05-19,1947-07-27,albrj101,albrija01,california,1942
albrija01,1921,6.0,30.0,USA,FL,St. Petersburg,1991.0,7.0,22.0,USA,CA,San Diego,Jack,Albright,Harold John,175.0,69.0,R,R,1947-05-19,1947-07-27,albrj101,albrija01,california,1943
alderda01,1918,3.0,9.0,USA,NE,Belden,1982.0,2.0,12.0,USA,CA,Garden Grove,Dale,Alderson,Dale Leonard,190.0,70.0,R,R,1943-09-18,1944-07-05,alded101,alderda01,upperiowa,1939
alderda01,1918,3.0,9.0,USA,NE,Belden,1982.0,2.0,12.0,USA,CA,Garden Grove,Dale,Alderson,Dale Leonard,190.0,70.0,R,R,1943-09-18,1944-07-05,alded101,alderda01,upperiowa,1940
alderda01,1918,3.0,9.0,USA,NE,Belden,1982.0,2.0,12.0,USA,CA,Garden Grove,Dale,Alderson,Dale Leonard,190.0,70.0,R,R,1943-09-18,1944-07-05,alded101,alderda01,upperiowa,1941
alderda01,1918,3.0,9.0,USA,NE,Belden,1982.0,2.0,12.0,USA,CA,Garden Grove,Dale,Alderson,Dale Leonard,190.0,70.0,R,R,1943-09-18,1944-07-05,alded101,alderda01,upperiowa,1942
aldremi01,1961,1.0,29.0,USA,CA,Carmel,,,,,,,Mike,Aldrete,Michael Peter,180.0,71.0,L,L,1986-05-28,1996-09-29,aldrm001,aldremi01,stanford,1980
aldremi01,1961,1.0,29.0,USA,CA,Carmel,,,,,,,Mike,Aldrete,Michael Peter,180.0,71.0,L,L,1986-05-28,1996-09-29,aldrm001,aldremi01,stanford,1981
aldremi01,1961,1.0,29.0,USA,CA,Carmel,,,,,,,Mike,Aldrete,Michael Peter,180.0,71.0,L,L,1986-05-28,1996-09-29,aldrm001,aldremi01,stanford,1982
aldremi01,1961,1.0,29.0,USA,CA,Carmel,,,,,,,Mike,Aldrete,Michael Peter,180.0,71.0,L,L,1986-05-28,1996-09-29,aldrm001,aldremi01,stanford,1983
aldrija01,1961,4.0,14.0,USA,LA,Alexandria,,,,,,,Jay,Aldrich,Jay Robert,210.0,75.0,R,R,1987-06-05,1990-04-26,aldrj001,aldrija01,mntclairst,1980
aldrija01,1961,4.0,14.0,USA,LA,Alexandria,,,,,,,Jay,Aldrich,Jay Robert,210.0,75.0,R,R,1987-06-05,1990-04-26,aldrj001,aldrija01,mntclairst,1981
aldrija01,1961,4.0,14.0,USA,LA,Alexandria,,,,,,,Jay,Aldrich,Jay Robert,210.0,75.0,R,R,1987-06-05,1990-04-26,aldrj001,aldrija01,mntclairst,1982
aldrivi01,1893,10.0,25.0,USA,IN,Crane,1973.0,4.0,17.0,USA,IN,Terre Haute,Vic,Aldridge,Victor,175.0,69.0,R,R,1917-04-15,1928-08-29,aldrv101,aldrivi01,incante,1913
aldrivi01,1893,10.0,25.0,USA,IN,Crane,1973.0,4.0,17.0,USA,IN,Terre Haute,Vic,Aldridge,Victor,175.0,69.0,R,R,1917-04-15,1928-08-29,aldrv101,aldrivi01,incante,1914
alexabo01,1922,8.0,7.0,CAN,BC,Vancouver,1993.0,4.0,7.0,USA,CA,Oceanside,Bob,Alexander,Robert Somerville,205.0,74.0,R,R,1955-04-11,1957-09-22,alexb101,alexabo01,bethanywv,1942
alexada01,1903,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,milligantn,1924
alexada01,1903,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,milligantn,1925
