playerid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namegiven,weight,height,bats,throws,debut,finalgame,retroid,bbrefid,schoolid,yearid
abernte02,1933.0,3.0,6.0,USA,NC,Stanley,2004.0,12.0,16.0,USA,NC,Gastonia,Ted,Abernathy,Theodore Wade,215.0,76.0,R,R,1955-04-13,1972-09-30,abert101,abernte02,,
abernwo01,1915.0,2.0,1.0,USA,NC,Forest City,1994.0,12.0,5.0,USA,KY,Louisville,Woody,Abernathy,Virgil Woodrow,170.0,72.0,L,L,1946-07-28,1947-04-17,aberw101,abernwo01,,
aberscl01,1921.0,8.0,28.0,USA,IL,Chicago,1973.0,6.0,23.0,USA,CA,Vallejo,Cliff,Aberson,Clifford Alexander,200.0,72.0,R,R,1947-07-18,1949-05-09,aberc101,aberscl01,,
ablesha01,1883.0,10.0,4.0,USA,TX,Terrell,1951.0,2.0,8.0,USA,TX,San Antonio,Harry,Ables,Harry Terrell,200.0,74.0,R,L,1905-09-04,1911-05-05,ableh101,ablesha01,swesterntx,1903.0
ablesha01,1883.0,10.0,4.0,USA,TX,Terrell,1951.0,2.0,8.0,USA,TX,San Antonio,Harry,Ables,Harry Terrell,200.0,74.0,R,L,1905-09-04,1911-05-05,ableh101,ablesha01,swesterntx,1904.0
abnersh01,1966.0,6.0,17.0,USA,OH,Hamilton,,,,,,,Shawn,Abner,Shawn Wesley,190.0,73.0,R,R,1987-09-08,1992-10-03,abnes001,abnersh01,,
abramca01,1924.0,3.0,2.0,USA,PA,Philadelphia,1997.0,2.0,25.0,USA,FL,Fort Lauderdale,Cal,Abrams,Calvin Ross,185.0,72.0,L,L,1949-04-19,1956-05-09,abrac101,abramca01,,
abramge01,1899.0,11.0,9.0,USA,WA,Seattle,1986.0,12.0,5.0,USA,FL,Clearwater,George,Abrams,George Allen,170.0,69.0,R,R,1923-04-19,1923-05-04,abrag101,abramge01,,
abregjo01,1962.0,7.0,4.0,USA,TX,Corpus Christi,,,,,,,Johnny,Abrego,Johnny Ray,185.0,72.0,R,R,1985-09-04,1985-10-03,abrej001,abregjo01,,
abreubo01,1974.0,3.0,11.0,Venezuela,Aragua,Maracay,,,,,,,Bobby,Abreu,Bob Kelly,220.0,72.0,L,R,1996-09-01,2014-09-28,abreb001,abreubo01,,
abreujo01,1913.0,5.0,24.0,USA,CA,Oakland,1993.0,3.0,17.0,USA,CA,Hayward,Joe,Abreu,Joseph Lawrence,160.0,68.0,R,R,1942-04-23,1942-07-11,abrej101,abreujo01,,
abreujo02,1987.0,1.0,29.0,Cuba,Cienfuegos,Cienfuegos,,,,,,,Jose,Abreu,Jose Dariel,255.0,75.0,R,R,2014-03-31,2017-10-01,abrej003,abreujo02,,
abreuju01,1985.0,4.0,8.0,D.R.,Duarte,San Francisco de Macoris,,,,,,,Juan,Abreu,Juan de Dios,185.0,72.0,R,R,2011-08-29,2011-09-27,abrej002,abreuju01,,
abreuto01,1984.0,11.0,13.0,D.R.,Puerto Plata,Puerto Plata,,,,,,,Tony,Abreu,Etanislao Toni,200.0,70.0,B,R,2007-05-22,2014-07-28,abret001,abreuto01,,
abreuwi01,1977.0,4.0,5.0,D.R.,Sanchez Ramirez,Cotui,,,,,,,Winston,Abreu,Winston Leonardo,170.0,74.0,R,R,2006-08-06,2009-07-25,abrew001,abreuwi01,,
abstebi01,1883.0,2.0,2.0,USA,MO,St. Louis,1940.0,4.0,8.0,USA,MO,St. Louis,Bill,Abstein,William Henry,185.0,72.0,R,R,1906-09-25,1910-06-02,abstb101,abstebi01,,
accarje01,1981.0,12.0,18.0,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195.0,72.0,R,R,2005-05-04,2012-09-27,accaj001,accarje01,illinoisst,2001.0
accarje01,1981.0,12.0,18.0,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195.0,72.0,R,R,2005-05-04,2012-09-27,accaj001,accarje01,illinoisst,2002.0
accarje01,1981.0,12.0,18.0,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195.0,72.0,R,R,2005-05-04,2012-09-27,accaj001,accarje01,illinoisst,2003.0
aceveal01,1982.0,12.0,8.0,Mexico,Sonora,San Luis Rio Colorado,,,,,,,Alfredo,Aceves,Alfredo,205.0,74.0,R,R,2008-08-31,2014-06-02,aceva001,aceveal01,,
acevejo01,1977.0,12.0,18.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Jose,Acevedo,Jose Omar,185.0,72.0,R,R,2001-06-19,2005-09-29,acevj002,acevejo01,,
aceveju01,1970.0,5.0,5.0,Mexico,Chihuahua,Ciudad Juarez,,,,,,,Juan,Acevedo,Juan Carlos,245.0,74.0,R,R,1995-04-30,2003-08-05,acevj001,aceveju01,ilparkl,1992.0
achteaj01,1988.0,8.0,27.0,USA,OH,Toledo,,,,,,,A. J.,Achter,Adam Joseph,215.0,77.0,R,R,2014-09-03,2016-10-01,achta001,achteaj01,,
ackerji01,1958.0,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210.0,74.0,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,texas,1978.0
ackerji01,1958.0,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210.0,74.0,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,texas,1979.0
ackerji01,1958.0,9.0,24.0,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210.0,74.0,R,R,1983-04-07,1992-06-14,ackej001,ackerji01,texas,1980.0
ackerto01,1930.0,3.0,7.0,USA,NJ,Paterson,,,,,,,Tom,Acker,Thomas James,215.0,76.0,R,R,1956-04-20,1959-09-20,acket101,ackerto01,,
ackledu01,1988.0,2.0,26.0,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205.0,73.0,L,R,2011-06-17,2016-05-29,ackld001,ackledu01,unc,2007.0
ackledu01,1988.0,2.0,26.0,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205.0,73.0,L,R,2011-06-17,2016-05-29,ackld001,ackledu01,unc,2008.0
ackledu01,1988.0,2.0,26.0,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205.0,73.0,L,R,2011-06-17,2016-05-29,ackld001,ackledu01,unc,2009.0
acklefr01,1937.0,4.0,10.0,USA,WI,Hayward,2002.0,5.0,22.0,USA,MN,Duluth,Fritz,Ackley,Florian Frederick,202.0,73.0,L,R,1963-09-21,1964-05-09,acklf101,acklefr01,,
acostcy01,1946.0,11.0,22.0,Mexico,Sinaloa,El Sabino,,,,,,,Cy,Acosta,Cecilio,165.0,70.0,R,R,1972-06-04,1975-05-05,acosc101,acostcy01,,
acosted01,1944.0,3.0,9.0,Panama,Chiriqui,Boquete,,,,,,,Ed,Acosta,Eduardo Elixbet,215.0,77.0,B,R,1970-09-07,1972-10-04,acose101,acosted01,,
acostjo01,1891.0,3.0,4.0,Cuba,La Habana,La Habana,1977.0,11.0,16.0,Cuba,La Habana,La Habana,Jose,Acosta,Jose,134.0,66.0,R,R,1920-07-28,1922-05-12,acosj101,acostjo01,,
acostma01,1981.0,5.0,1.0,Panama,Colon,Colon,,,,,,,Manny,Acosta,Manuel Alcides,215.0,76.0,R,R,2007-08-12,2012-10-03,acosm001,acostma01,,
acostme01,1896.0,5.0,19.0,Cuba,,Bauta,1963.0,11.0,17.0,USA,FL,Miami,Merito,Acosta,Baldomero Pedro,140.0,67.0,L,L,1913-06-15,1918-09-02,acosm101,acostme01,,
acrema01,1968.0,9.0,16.0,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235.0,80.0,R,R,1994-05-13,1997-05-10,acrem001,acrema01,nmstate,1989.0
acrema01,1968.0,9.0,16.0,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235.0,80.0,R,R,1994-05-13,1997-05-10,acrem001,acrema01,nmstate,1990.0
acrema01,1968.0,9.0,16.0,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235.0,80.0,R,R,1994-05-13,1997-05-10,acrem001,acrema01,nmstate,1991.0
actama99,1969.0,1.0,11.0,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Manny,Acta,Manuel Elias,172.0,74.0,R,R,,,actam801,actama99,,
adairbi99,1913.0,2.0,10.0,USA,AL,Mobile,2002.0,6.0,17.0,USA,AL,Bay Minette,Bill,Adair,Marion Danne,168.0,72.0,R,R,,,adaib801,adairbi99,,
adairje01,1936.0,12.0,17.0,USA,OK,Sand Springs,1987.0,5.0,31.0,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175.0,72.0,R,R,1958-09-02,1970-05-03,adaij101,adairje01,okstate,1957.0
adairje01,1936.0,12.0,17.0,USA,OK,Sand Springs,1987.0,5.0,31.0,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175.0,72.0,R,R,1958-09-02,1970-05-03,adaij101,adairje01,okstate,1958.0
adairji01,1907.0,1.0,25.0,USA,TX,Waxahachie,1982.0,12.0,9.0,USA,TX,Farmers Branch,Jimmy,Adair,James Aubrey,154.0,70.0,R,R,1931-08-24,1931-09-07,adaij102,adairji01,,
adamecr01,1991.0,7.0,26.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Cristhian,Adames,Cristhian Pascual,185.0,72.0,B,R,2014-07-29,2017-04-28,adamc001,adamecr01,,
adamsac01,1910.0,3.0,2.0,USA,CA,Willows,2006.0,2.0,26.0,USA,GA,Albany,Ace,Adams,Ace Townsend,182.0,70.0,R,R,1941-04-15,1946-04-24,adama101,adamsac01,,
adamsau01,1986.0,8.0,19.0,USA,AL,Montgomery,,,,,,,Austin,Adams,Austin David,200.0,71.0,R,R,2014-07-12,2016-09-27,adama001,adamsau01,,
adamsau02,1991.0,5.0,5.0,USA,FL,Tampa,,,,,,,Austin,Adams,Austin Lance,225.0,74.0,R,R,2017-07-15,2017-10-01,adama002,adamsau02,,
adamsba01,1882.0,5.0,18.0,USA,IN,Tipton,1968.0,7.0,27.0,USA,MD,Silver Spring,Babe,Adams,Charles Benjamin,185.0,71.0,L,R,1906-04-18,1926-08-11,adamb104,adamsba01,,
adamsbe01,1891.0,6.0,21.0,USA,TX,Wharton,1940.0,6.0,24.0,USA,CA,Los Angeles,Bert,Adams,John Bertram,185.0,73.0,B,R,1910-08-30,1919-09-28,adamb106,adamsbe01,,
adamsbo01,1901.0,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1922.0
adamsbo01,1901.0,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1923.0
adamsbo01,1901.0,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1924.0
adamsbo01,1901.0,7.0,24.0,USA,MA,Holyoke,1996.0,10.0,17.0,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168.0,71.0,R,R,1925-09-22,1925-09-23,adamb107,adamsbo01,lehigh,1925.0
adamsbo02,1907.0,1.0,20.0,USA,AL,Birmingham,1970.0,3.0,6.0,USA,FL,Jacksonville,Bob,Adams,Robert Andrew,165.0,72.0,R,R,1931-09-27,1932-09-17,adamb102,adamsbo02,,
adamsbo03,1921.0,12.0,14.0,USA,CA,Tuolumne,1997.0,2.0,13.0,USA,WA,Gig Harbor,Bobby,Adams,Robert Henry,160.0,70.0,R,R,1946-04-16,1959-04-22,adamb103,adamsbo03,,
adamsbo04,1952.0,1.0,6.0,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200.0,74.0,R,R,1977-07-10,1977-09-29,adamb105,adamsbo04,ucla,1971.0
adamsbo04,1952.0,1.0,6.0,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200.0,74.0,R,R,1977-07-10,1977-09-29,adamb105,adamsbo04,ucla,1972.0
adamsbo04,1952.0,1.0,6.0,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200.0,74.0,R,R,1977-07-10,1977-09-29,adamb105,adamsbo04,ucla,1973.0
adamsbu01,1915.0,6.0,24.0,USA,CO,Trinidad,1990.0,9.0,1.0,USA,CA,Rancho Mirage,Buster,Adams,Elvin Clark,180.0,72.0,R,R,1939-04-27,1947-09-21,adamb101,adamsbu01,,
adamsda01,1887.0,6.0,19.0,USA,MO,St. Louis,1964.0,10.0,6.0,USA,MO,St. Louis,Dan,Adams,Daniel Leslie,165.0,71.0,R,R,1914-05-22,1915-09-26,adamd103,adamsda01,,
adamsda02,1987.0,5.0,15.0,USA,FL,Margate,,,,,,,David,Adams,David Lee,205.0,74.0,R,R,2013-05-15,2013-09-29,adamd001,adamsda02,virginia,2006.0
adamsda02,1987.0,5.0,15.0,USA,FL,Margate,,,,,,,David,Adams,David Lee,205.0,74.0,R,R,2013-05-15,2013-09-29,adamd001,adamsda02,virginia,2007.0
adamsda02,1987.0,5.0,15.0,USA,FL,Margate,,,,,,,David,Adams,David Lee,205.0,74.0,R,R,2013-05-15,2013-09-29,adamd001,adamsda02,virginia,2008.0
adamsdi01,1920.0,4.0,8.0,USA,CA,Tuolumne,2016.0,9.0,14.0,USA,CA,Fallbrook,Dick,Adams,Richard Leroy,185.0,72.0,R,L,1947-05-20,1947-09-28,adamd102,adamsdi01,,
adamsdo01,1943.0,1.0,27.0,USA,WI,Blue River,,,,,,,Doug,Adams,Harold Douglas,185.0,75.0,L,R,1969-09-08,1969-10-01,adamd101,adamsdo01,,
adamsge01,1855.0,1.0,26.0,USA,MA,Worcester,1920.0,10.0,11.0,USA,WA,Clarkston,George,Adams,George Henry,175.0,66.0,R,R,1879-06-14,1879-06-21,adamg102,adamsge01,,
adamsgl01,1947.0,10.0,4.0,USA,MA,Northbridge,,,,,,,Glenn,Adams,Glenn Charles,180.0,73.0,L,R,1975-05-04,1982-10-03,adamg101,adamsgl01,sprngfldma,1967.0
adamshe01,1928.0,4.0,14.0,USA,CA,Hollywood,2012.0,2.0,1.0,USA,OK,Tulsa,Herb,Adams,Herbert Loren,160.0,69.0,L,L,1948-09-17,1950-08-30,adamh101,adamshe01,,
adamsji01,1868.0,,,USA,IL,East St. Louis,,,,,,,Jim,Adams,James J.,148.0,66.0,,R,1890-04-21,1890-04-21,adamj101,adamsji01,,
adamsjo01,1877.0,10.0,28.0,USA,IL,Cowden,1952.0,10.0,8.0,USA,MO,Bachelor,Joe,Adams,Joseph Edward,190.0,72.0,R,L,1902-04-26,1902-04-26,adamj102,adamsjo01,,
adamsjo02,1971.0,7.0,2.0,USA,CA,Lakewood,,,,,,,Joel,Adamson,Joel Lee,185.0,76.0,L,L,1996-04-10,1998-04-26,adamj001,adamsjo02,cacerri,1990.0
adamska01,1891.0,8.0,11.0,USA,GA,Columbus,1967.0,9.0,17.0,USA,WA,Everett,Karl,Adams,Karl Tutwiler,170.0,74.0,R,R,1914-04-19,1915-09-23,adamk101,adamska01,,
adamsla01,1989.0,11.0,13.0,USA,OK,Talihina,,,,,,,Lane,Adams,Lane Weston,220.0,75.0,R,R,2014-09-01,2017-10-01,adaml001,adamsla01,,
adamsma01,1988.0,8.0,31.0,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,260.0,75.0,L,R,2012-05-20,2017-09-30,adamm002,adamsma01,sliprock,2007.0
adamsma01,1988.0,8.0,31.0,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,260.0,75.0,L,R,2012-05-20,2017-09-30,adamm002,adamsma01,sliprock,2008.0
adamsma01,1988.0,8.0,31.0,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,260.0,75.0,L,R,2012-05-20,2017-09-30,adamm002,adamsma01,sliprock,2009.0
adamsmi01,1947.0,9.0,13.0,USA,CA,San Diego,,,,,,,Mike,Adamson,John Michael,185.0,74.0,R,R,1967-07-01,1969-05-07,adamm101,adamsmi01,usc,1967.0
adamsmi02,1948.0,7.0,24.0,USA,OH,Cincinnati,,,,,,,Mike,Adams,Robert Michael,180.0,69.0,R,R,1972-09-10,1978-07-25,adamm102,adamsmi02,,
adamsmi03,1978.0,7.0,29.0,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,tamukvill,1999.0
adamsmi03,1978.0,7.0,29.0,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,tamukvill,2000.0
adamsmi03,1978.0,7.0,29.0,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210.0,77.0,R,R,2004-05-18,2014-09-18,adamm001,adamsmi03,tamukvill,2001.0
adamsre01,1921.0,10.0,7.0,USA,CA,Parlier,2017.0,1.0,18.0,USA,CA,Fresno,Red,Adams,Charles Dwight,185.0,72.0,R,R,1946-05-05,1946-07-02,adamr101,adamsre01,,
adamsri01,1878.0,12.0,24.0,USA,TX,Paris,1955.0,3.0,10.0,USA,TX,Paris,Rick,Adams,Reuben Alexander,165.0,72.0,L,L,1905-07-13,1905-09-29,adamr102,adamsri01,,
adamsri02,1959.0,1.0,21.0,USA,CA,Upland,2011.0,10.0,28.0,USA,CA,Rancho Cucamonga,Ricky,Adams,Ricky Lee,180.0,74.0,R,R,1982-09-15,1985-10-05,adamr001,adamsri02,,
adamsru01,1980.0,8.0,30.0,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205.0,72.0,L,R,2004-09-03,2009-06-30,adamr002,adamsru01,unc,2000.0
adamsru01,1980.0,8.0,30.0,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205.0,72.0,L,R,2004-09-03,2009-06-30,adamr002,adamsru01,unc,2001.0
adamsru01,1980.0,8.0,30.0,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205.0,72.0,L,R,2004-09-03,2009-06-30,adamr002,adamsru01,unc,2002.0
adamsry01,1987.0,4.0,21.0,USA,LA,New Orleans,,,,,,,Ryan,Adams,Ryan Scott,185.0,71.0,R,R,2011-05-20,2011-09-19,adamr003,adamsry01,,
adamssp01,1894.0,8.0,26.0,USA,PA,Zerbe,1989.0,2.0,24.0,USA,PA,Pottsville,Sparky,Adams,Earl John,151.0,65.0,R,R,1922-09-18,1934-09-30,adams101,adamssp01,,
adamssp02,1898.0,6.0,21.0,USA,UT,Layton,1970.0,11.0,24.0,USA,UT,Salt Lake City,Spencer,Adams,Spencer Dewey,158.0,69.0,L,R,1923-04-22,1927-10-02,adams102,adamssp02,utah,1920.0
adamste01,1973.0,3.0,6.0,USA,AL,Mobile,,,,,,,Terry,Adams,Terry Wayne,180.0,75.0,R,R,1995-08-10,2005-05-23,adamt001,adamste01,,
adamswi01,1890.0,9.0,27.0,USA,PA,Clearfield,1937.0,6.0,18.0,USA,NY,Albany,Willie,Adams,James Irvin,180.0,76.0,R,R,1912-06-30,1919-09-06,adamw101,adamswi01,,
